county,township,parcel_count,total_area_ha,centroid_lat,centroid_lng
新北市,石碇區,2268,434.76,24.97466128193749,121.66072306121076
新北市,汐止區,1986,397.94,25.067322519291785,121.64943930871783
新北市,樹林區,2537,393.38,24.970036601197773,121.39539843066285
新北市,深坑區,885,307.05,25.00370484933947,121.61589778097579
新北市,鶯歌區,1857,260.86,24.94974713631592,121.34169766358404
新北市,土城區,1330,257.48,24.963577995323202,121.44885357073477
新北市,平溪區,1249,158.57,25.02656933756281,121.75235811253621
新北市,瑞芳區,1095,157.38,25.100892433174835,121.80310663686497
新北市,烏來區,481,117.97,24.832662108646684,121.52651025330279
新北市,新莊區,788,106.33,25.031270530743658,121.4343952610089
新北市,中和區,504,86.77,24.982667082640997,121.48893805536513
新北市,泰山區,397,70.54,25.053149646307705,121.42258540224447
新北市,蘆洲區,456,52.05,25.093219801511037,121.47749010061754
新北市,板橋區,209,36.21,25.005085665845552,121.45007959032202
新北市,永和區,56,9.32,25.00759651082952,121.52673687900877
新北市,三重區,80,5.56,25.069139315503794,121.48365422521987
宜蘭縣,三星鄉,18284,3913.02,24.673808501869548,121.67378020565532
宜蘭縣,冬山鄉,14386,3057.47,24.64857113331279,121.76599186929936
宜蘭縣,員山鄉,14308,2694.48,24.733729763353153,121.70277195492466
宜蘭縣,壯圍鄉,11848,2603.7,24.75426179188133,121.79936501700935
宜蘭縣,礁溪鄉,11141,2298.05,24.804146126784012,121.77491438780565
宜蘭縣,大同鄉,4311,2118.68,24.56947194017145,121.50837695888819
宜蘭縣,五結鄉,8546,1788.84,24.691298350322494,121.80181232657762
宜蘭縣,宜蘭市,7406,1452.85,24.749183057412598,121.7592822511106
宜蘭縣,蘇澳鎮,4736,842.03,24.56790917191743,121.82469374230372
宜蘭縣,頭城鎮,5619,795.64,24.845054486952314,121.81093105023723
宜蘭縣,羅東鎮,2623,448.27,24.67992544091782,121.77297100536792
宜蘭縣,南澳鄉,1807,408.67,24.447397834970456,121.77181716111613
桃園市,新屋區,26189,5167.74,24.973148158264287,121.06690744657129
桃園市,觀音區,19719,3979.61,25.017251560004382,121.11901614055238
桃園市,大園區,16817,3249.32,25.060248072286615,121.20723506609468
桃園市,楊梅區,14345,2905.89,24.92400634748476,121.11439682050381
桃園市,中壢區,15781,2461.35,24.988778712929317,121.20232438116852
桃園市,蘆竹區,12792,1956.4,25.048004615066816,121.2699980721231
桃園市,龍潭區,8858,1684.21,24.853719727301797,121.215050566225
